"Title","Content","Rating","Date","Author","Country","ReviewsCount"
"","Je fais partie des contributeurs de la première heure, ceux qui ont cru en votre vision, qui ont investi non seulement de l’argent, mais de la confiance. En retour, nous avons eu droit à quo... Voir plus","1","2025-07-30T21:50:32.000Z","","",""
"","J’aime le fait qu’il n’y ait pas besoin d’abonnement. La bague et l’application fonctionnent parfaitement ensemble, et j’obtiens toutes les informations dont j’ai besoin sans frais supplémentaires.","5","2025-06-18T02:55:40.000Z","","",""
"","Bague qui a fonctionner 2 ou 3jours. Service client contacté dans la foulée Garantie #S-92183. Aucune réactivité. Apres 8mois d'échange, ils me demandent de renvoyer la bague pour remboursement.... Voir plus","1","2025-05-14T12:00:38.000Z","","",""
"","Une version slim qui fait clairement la différence, fiable et discrète. Niveau software : les phases de sommeil ne sont pas toujours bien détectées (surtout pour l'éveil). En attente d'une synch... Voir plus","4","2024-03-27T15:42:19.000Z","","",""
"Arnaque entreprise Circular sur Kickstarter","Circular a lancé une campagne de financement à travers Kickstarter pour un nouvel anneau nommé circular 2 en mars 2025. Une des promesses principale lors cette campagne à été de fournir toutes les fonctionnalités actuelles et futures sans souscription ou abonnement. Lors d un déroulé de la campagne 2 objectifs (""goals"") ont été atteints, débloquant ainsi 2 fonctionnalités supplémentaires (suivi pression artérielle et suivi du glucose). Ces fonctions de suivi, étant des fonctions très intéressantes pour leurs utilisateurs, sont de puissants arguments commerciaux afin de que la campagne puisse attirer un maximum de contributeurs. Les contributeurs à la campagne ont d’ailleurs immédiatement augmenté de manière significative au vu de l’intérêt et des conditions d’accès sans frais à ces fonctionnalités. A aucun moment lors de la campagne, circular n'a mentionné le principe d'un abonnement sur les fonctions de la bague et ceci jusqu'à la clôture de la campagne. Le 27 juillet 2025 (après la clôture de la campagne et juste avant le début de l'envoi des bagues), circular a fait changer les termes de la campagne par Kickstarter en y intégrant la mention d'un abonnement pour les fonctions se situant en objectifs (suivi de la pression arterielle et du glucose). A ce jour et malgré de nombreuses demandes des contributeurs, circular n'est pas revenu en arrière sur son intention de mettre en place un abonnement, ni ne laisse de possibilité d'annuler la commande et de se faire rembourser.","1","2025-07-31T08:15:28.000Z","YS","FR","1.0"
"Une trahison à la hauteur de votre silence","Je fais partie des contributeurs de la première heure, ceux qui ont cru en votre vision, qui ont investi non seulement de l’argent, mais de la confiance. En retour, nous avons eu droit à quoi ? À une volte-face commerciale honteuse, à des promesses piétinées, et maintenant — cerise sur le gâteau — à la censure pure et simple.

Vos engagements initiaux incluaient des fonctionnalités de santé ambitieuses (pression artérielle, glycémie…) intégrées dans le produit. Aujourd’hui, vous les transformez en options payantes, sans avertissement, sans discussion, et surtout sans respect. Ce n’est pas un changement de cap, c’est une escroquerie à peine déguisée.

Et plutôt que d’ouvrir le dialogue, vous avez choisi la voie la plus lâche : supprimer les commentaires critiques et bloquer ceux qui osent exprimer leur déception. Un mépris total de votre communauté. Vous ne supportez pas la transparence ? Ou est-ce la vérité qui vous dérange ?

À ceux qui vous rejoindraient demain : fuyez. Car derrière les paillettes marketing se cache une réalité bien plus sombre : une équipe qui renie ses promesses, méprise ses soutiens, et efface les traces de ses propres renoncements.

Nous avons soutenu un projet, pas une entreprise de microtransactions malhonnête.

Honte à vous.","1","2025-07-30T21:50:32.000Z","David","FR","3.0"
"Arnaque Circular sur Kickstarter","Circular a lancé une campagne de financement à travers Kickstarter pour un nouvel anneau nommé circular 2 en mars 2025. Une des promesses principale lors cette campagne à été de fournir toutes les fonctionnalités sans abonnement. Lors de la réalisation de la campagne 2 objectifs (""goals"") ont été atteint, débloquant ainsi 2 fonctionnalités supplémentaires (suivi pression artérielle et suivi du glucose). Ces fonctions de suivi, étant des fonctions très intéressantes pour leurs utilisateurs, sont de puissants arguments commerciaux afin de que la campagne puisse attirer un maximum de contributeurs. A aucun moment lors de la campagne, circular n'a mentionné le principe d'un abonnement sur les fonctions de la bague et ceci jusqu'à la clôture de la campagne. Le 27 juillet 2025 (après la clôture de la campagne et juste avant le début de l'envoi des bagues), circular a fait changer les termes de la campagne par Kickstarter en y intégrant la mention d'un abonnement pour les fonctions se situant en objectifs (suivi de la pression arterielle et du glucose). A ce jour et malgré de nombreuses demandes des contributeurs, circular n'est pas revenu en arrière sur son intention de mettre en place un abonnement, ni ne laisse de possibilité d'annuler la commande et de se faire rembourser.","1","2025-07-30T16:02:59.000Z","Cédric Venant","FR","2.0"
"Depuis que je porte cette bague","Depuis que je porte cette bague, je dors plus profondément. L’application me guide avec de bons conseils simples. Je me sens mieux chaque matin.","5","2025-07-18T22:42:17.000Z","Jasmin Rajab Lootah","US","1.0"
"Nul!!!!","Cette société ne tiens pas ses engagements. Produits défectueux au bout de 4 mois, pas possible de remplacer et toujours pas remboursé depuis 8 mois... a fuir
Pire service consommateur jamais vu, les pauvres conseillers font ceux qui ils peuvent pour supporter leur manager incompétent.","1","2025-07-10T18:57:21.000Z","JFZ","FR","2.0"
"Je la porte souvent pendant mes séances…","Je la porte souvent pendant mes séances sportives. Elle suit mes données sans gêne, et son design me plaît vraiment.","5","2025-07-10T02:14:10.000Z","Zayyan","FR","1.0"
"Je n’étais pas sûr d’en avoir besoin","Je n’étais pas sûr d’en avoir besoin, mais maintenant je ne peux plus m’en passer. Cela a amélioré mon sommeil et mon bien-être général.","5","2025-07-08T02:37:38.000Z","Blaise Fontaine","FR","1.0"
"AVIS 9, le temps passe inexorablement...","Résumé des épisodes... commande
#S-92668

14/06/24 prise de contact car ma circular slim est HS

20/07/24 renvoi de la bague avec étiquette prépayée

23/07/24 réception par Circular

Et depuis comme beaucoup je me fais balader avec des fausses promesses...

MàJ : redressement judiciaire de Circular en date du 8/10/24!!!
Donc on comprend mieux le fait que les remboursements ne viennent pas!!
Les avoirs sont gelés!!

6/07/25
Tiens tiens toujours pas de remboursement, j'ai eu l'argument de la liste d'attente bien sûr
J'ai saisi le médiateur et Circular n'a pas répondu
Étape suivante avec Signal Conso où Circular n'a pas non plus répondu (ils s'intéressent à leurs clients en SAV !!!)
Donc je viens de contacter ma protection juridique car là depuis le 14/06/24 ça devient lassant

Pour Circular, vous allez avoir plus de frais de justice que mon remboursement de 273€ mais ce n'est pas mon problème, ce n'est pas faute d'avoir été patient !!","1","2025-07-06T21:17:28.000Z","Gérard","FR","12.0"
"N'esperez pas passer la bague au…","N'esperez pas passer la bague au doigt...
CIRCULAR n'est que du vent.... CIRCULAR ne fabrique pas... Il revend un produit.
CIRCULAR est un miroir aux alouettes: ça brille beaucoup pour attirer, mais il n'y a rien derrière si ce n'est un coup de fusil.
CIRCULAR n'est rien d'autre qu'un piège à gogo.
Une chose est sûre: si vous aimez les gadgets et perdre de l'argent: c'est le bon plan! (de ma triste expérience).","1","2025-07-01T17:57:21.000Z","BEAPS","FR","7.0"
"C’est agréable de ne pas avoir besoin…","C’est agréable de ne pas avoir besoin d’un abonnement. La bague et l’application fonctionnent parfaitement ensemble, et j’obtiens tout ce dont j’ai besoin avec elles.","5","2025-07-01T06:14:13.000Z","Amaury Picard","FR","1.0"
"J’aime le fait qu’il n’y ait pas besoin…","J’aime le fait qu’il n’y ait pas besoin d’abonnement. La bague et l’application fonctionnent parfaitement ensemble, et j’obtiens toutes les informations dont j’ai besoin sans frais supplémentaires.","5","2025-06-18T02:55:40.000Z","Samuel Roger","FR","1.0"
"La saga continue","La saga continue, toujours pas de remboursement effectif de ma commande passée le 17 octobre 2024.
Ils répondent toujours très gentiment qu'ils vont s'occuper rapidement de résoudre le problème, mais .. ils ne font rien. Après avoir évoqué de manière dilatoire plusieurs raisons de non-remboursement, dont la fameuse liste d'attente ou la fameuse adresse email pour le soi-disant remboursement, je pense que le sérieux ou l'honnêteté n'est pas la caractéristique principale de votre entreprise.","1","2025-06-17T16:57:08.000Z","Sylvain Stoerckler","FR","3.0"
"Aucune garantie","Bague qui a fonctionner 2 ou 3jours.
Service client contacté dans la foulée Garantie #S-92183.
Aucune réactivité.
Apres 8mois d'échange, ils me demandent de renvoyer la bague pour remboursement.
Bague renvoyée en décembre, aucune nouvelle malgré des relances.
Passez votre chemin avec cette société et cette bague si vous ne voulez pas perdre votre argent.","1","2025-05-14T12:00:38.000Z","Yoann","FR","1.0"
"Passez votre chemin !!!","Après avoir essayé d’obtenir pendant plusieurs mois un deuxième remplacement de ma bague, j’ai finalement demandé un remboursement… ça dure depuis fin décembre !!! « On fait de notre mieux », « on comprend votre frustration », « nous faisons tout notre possible » ! Bref que du pipo.
J’ai déjà laissé un message ici il y a trois mois. J’ai eu la même réponse que beaucoup : « On est désolé…. va prendre contact et régler le problème rapidement. » pas de contact pris et problème toujours pas réglé.
À ce point là, je pense qu’on peut considérer que c’est une arnaque.","1","2025-03-13T19:55:36.000Z","Pascal","FR","4.0"
"MEFIEZ-VOUS ! FUYER !","Méfiez-vous ! Il ne respecte pas le délais de rétractation ! J'ai eu le malheur d'avoir acheter une Circular Ring quelques jours avant la sortie de la Slim. La première n'étant pas fiable. J'avais demandé le remboursement de la Slim et de la Ring. Aucun des 2 n'a été remboursé ... ils sont très fort pour vous faire tourner en rond. Ils prétextent des délais administratives et promettent de revenir vers vous... mais pas de nouvelle. Et quand vous faites un rappel, ils donnent d'autres excuses. Ils sont très fort.","1","2025-03-07T19:17:45.000Z","Domenico DP","BE","4.0"
"ATTENTION GROSSE ARNAQUE ET SCAM !!","ATTENTION GROSSE ARNAQUE ET SCAM !!

Promesse de remboursement et ou d'envoi de bague BIDON !!!
Attention !! Ne vous faites pas avoir !
Plus de 2 ans d'attente ! commande en 2022 !! Bagues mal finies qui s'arrêtent et non fonctionnelles...","1","2025-03-07T01:15:24.000Z","IVAN","BE","5.0"
"Mauvaise expérience","Suite à un soucis de taille de la bague, le support m'a proposé de me renvoyer la taille en dessous plutôt qu'un remboursement. Ne voyant rien arriver, le support m'a dit qu'il faudrait que j'attende 3 mois pour la recevoir... J'ai demandé alors un remboursement. Remboursement que j'attends toujours depuis plus d'1 mois maintenant malgré de multiples relances et qu'il a fallu que je demande via PayPal car la procédure standard n'a pas marché. La personne du support a toujours répondu à mes relances mais ne peut apparemment rien faire pour aider au remboursement....","1","2025-02-28T23:56:20.000Z","EKL","FR","4.0"
"Parfait","Petit compagnon agréable à porter et très utile pour connaître ses données corporelles. Idéal comme assistant de suivi de santé.","5","2025-02-22T05:15:57.000Z","Thomas H","FR","1.0"
"Circular slim anneau fragile et non fiable","Circular Slim commandé fin 2023, reçu en mars 2024, fonctionnement normal pendant 3 semaines puis l'anneau est mort, remplacement qui a pris 1 à 2 mois, le nouvel anneau a fonctionné normalement 2 mois. Je précise que pour le 2ème anneau j'y ai fait vraiment attention, je ne le portais même plus en faisant du sport pour ne pas l'abîmer. Bref je me résous à demander un remboursement, 4 mois plus tard je suis toujours dans l'attente d'un remboursement et on me balade pour me demander d'être patient et que ça va venir... En résumé, anneau très fragile et non fiable, service client ne faisant pas son boulot. Obtenir un remboursement pour un produit défectueux semble impossible","1","2025-02-20T11:46:00.000Z","Pierre-Alexandre THEBAUD","FR","2.0"
"Expérience catastrophique, à éviter","J'ai reçu 3 bagues, et à chaque fois, la batterie n'a pas tenu plus de 6 mois. Maintenant, cela fait près d'un mois que j'attends un remboursement, mais rien ne vient. Bref, c'est le même constat que pour beaucoup d'autres clients.","1","2025-02-10T14:35:36.000Z","Cold","FR","1.0"
"","Je fais partie des contributeurs de la première heure, ceux qui ont cru en votre vision, qui ont investi non seulement de l’argent, mais de la confiance. En retour, nous avons eu droit à quo... Voir plus","1","2025-07-30T21:50:32.000Z","","",""
"","J’aime le fait qu’il n’y ait pas besoin d’abonnement. La bague et l’application fonctionnent parfaitement ensemble, et j’obtiens toutes les informations dont j’ai besoin sans frais supplémentaires.","5","2025-06-18T02:55:40.000Z","","",""
"","Bague qui a fonctionner 2 ou 3jours. Service client contacté dans la foulée Garantie #S-92183. Aucune réactivité. Apres 8mois d'échange, ils me demandent de renvoyer la bague pour remboursement.... Voir plus","1","2025-05-14T12:00:38.000Z","","",""
"","Une version slim qui fait clairement la différence, fiable et discrète. Niveau software : les phases de sommeil ne sont pas toujours bien détectées (surtout pour l'éveil). En attente d'une synch... Voir plus","4","2024-03-27T15:42:19.000Z","","",""
"Circular Ring Slim est tellement simple…","Circular Ring Slim est tellement simple à utiliser et s'ajuste parfaitement. Les informations de santé sont très précises, et l'alarme vibrante est un joli ajout","5","2025-02-05T20:32:15.000Z","Deborah","FR","1.0"
