"Title","Content","Rating","Date","Author"
"","Many things to like about this ring - comfortable, excellent battery life, free app with great info, overall performs it consistently well. I like the workout tracking for walking/running and how it sSee more","","2025-06-09T13:19:18.000Z",""
"","Love the ring for the most part. The exercise category could use some improvement. There’s not many exercises to choose from (run, walk, cycle) and it does not transfer data from Apple health. It lookSee more","","2025-06-09T12:04:32.000Z",""
"","After using the RingConn Gen2 for one week I find it to be inaccurate in many aspects particularly step count as compared to both my Apple Watch and iPhone. I also found that the O2 saturation levels See more","","2025-06-06T11:36:19.000Z",""
"","The RingConn rings are working wonderfully! Long battery life and pretty accurate readings compared to our pixel 3 watches. We both have sleep Apnea and the incite into our sleep history is very helpfSee more","","2025-05-29T17:54:31.000Z",""
"Good Design","Everything looks fine.","","2025-06-12T09:17:44.000Z",""
"Product has a long battery life","Product has a long battery life, seems pretty accurate, looks amazing and comfortable to wear daily.","","2025-06-11T15:06:52.000Z",""
"One ring rule all them all","Great Ring with style and light to wear. Track all my health information.","","2025-06-11T09:13:07.000Z",""
"It is pretty accurate compared to my…","It is pretty accurate compared to my Apple Watch. I wish it integrated with apps I.e peloton or any fitness app. Thinner than most rings on the market. Limited workout options. Love the sleep analysis","","2025-06-10T03:48:11.000Z",""
"good product","good product. delivery took long and was a bit stressed about the local delivery company","","2025-06-09T21:53:11.000Z",""
"I love this ring","I love this ring but more than that I love the customer service help that is given. They have gone above and beyond to help me.","","2025-06-09T19:48:16.000Z",""
"Good health status update","Good health status update","","2025-06-09T17:58:34.000Z",""
"I like that it really helps track my…","I like that it really helps track my sleep,that the main reason why i use it :)","","2025-06-09T16:16:44.000Z",""
"Does exactly what I wanted","Does exactly what I wanted. Monitors my sleep and my steps.
Size could be a half size smaller but the lower size would have been too tight in the summer heat - swelling of fingers.","","2025-06-09T15:11:24.000Z",""
"My ring came quick","My ring came quick. I love the sleep information and tracking my exercise. I've already recommended it to friends and coworkers.","","2025-06-09T14:52:06.000Z",""
"Great tracker","Many things to like about this ring - comfortable, excellent battery life, free app with great info, overall performs it consistently well. I like the workout tracking for walking/running and how it shows distance and path. Would like to see more workout options, e.g., yoga, strength training, just to keep record of those workouts as well.","","2025-06-09T13:19:18.000Z",""
"Easy and comfortable to wear & battery…","Easy and comfortable to wear & battery life is great!","","2025-06-09T13:15:53.000Z",""
"Easy to use and understand","Easy to use and understand. Love this product.","","2025-06-09T12:07:12.000Z",""
"Love the ring for the most part","Love the ring for the most part. The exercise category could use some improvement. There’s not many exercises to choose from (run, walk, cycle) and it does not transfer data from Apple health. It looks as if I haven’t exercised when I weight lift because I don’t wear the ring, but I would have that data if it successfully gathered information from Apple health.","","2025-06-09T12:04:32.000Z",""
"Love their products","Love their products!
Customer service was great.","","2025-06-09T11:02:03.000Z",""
"Good ring","Overall it’s a great ring but would have like for it to have little reminders of when I’m fertile, that would help the ladies when trying to conceive.","","2025-06-07T16:51:18.000Z",""
"Slow starting, but...","Well, I faced issues with the courier. It took long time to arrive. Then the size is slightly greater then the kit size rings. If I had know, I would order one size less.
That said, it is a good product, I like it more and it is a great travel companion","","2025-06-07T12:34:15.000Z",""
"Needs to have a swimming tracking","Needs to have a swimming tracking","","2025-06-07T08:49:26.000Z",""
"Feedback","I have had my RingConn for almost a month (June 15 exact date) with no problems until today. The RingConn will not stay connected to Bluetooth and I have reset it and it’s still doing it. Also, when not in use it stated my heart rate was between 143 to 148. How when it was sitting on the table. Is there something wrong with my ring? Debating on sending it back for a refund.","","2025-06-07T01:42:21.000Z",""
"Awesome product!","Comfortable, great fit, long battery life. Tells me a ton of data about my fitness, vitals, sleep quality. Fast shipping and reasonable price too!","","2025-06-06T16:15:29.000Z",""
"","Many things to like about this ring - comfortable, excellent battery life, free app with great info, overall performs it consistently well. I like the workout tracking for walking/running and how it sSee more","","2025-06-09T13:19:18.000Z",""
"","Love the ring for the most part. The exercise category could use some improvement. There’s not many exercises to choose from (run, walk, cycle) and it does not transfer data from Apple health. It lookSee more","","2025-06-09T12:04:32.000Z",""
"","After using the RingConn Gen2 for one week I find it to be inaccurate in many aspects particularly step count as compared to both my Apple Watch and iPhone. I also found that the O2 saturation levels See more","","2025-06-06T11:36:19.000Z",""
"","The RingConn rings are working wonderfully! Long battery life and pretty accurate readings compared to our pixel 3 watches. We both have sleep Apnea and the incite into our sleep history is very helpfSee more","","2025-05-29T17:54:31.000Z",""
"review","great delivery","","2025-06-06T16:07:13.000Z",""
