"CleanText","Rating"
"the company is responsive when i email them or submit feedback via the app usually responding within business days there are frequent updates as they roll out new features and or fix bugs the rinsee more","5"
"the ringconn has helped me better assess my sleep more than any other device has i highly suggest this ring since there s no monthly fee the app shows some fun stuff coming on the horizon for the asee more","5"
"love the idea of the ring somethings to note it gets scratched very easily and i m not expecting it to look great a year from now also there are no postpartum or pregnancy setting for the fertilitysee more","4"
"still relatively adjusting but so far everything has been as great as i expected the only thing is that the app doesn t take temp on demand only when sleeping other than that i love the purchase","4"
"love the idea of the ring love the idea of the ring somethings to note it gets scratched very easily and i m not expecting it to look great a year from now also there are no postpartum or pregnancy setting for the fertility tracking which would improve the data for sure over all its comfortable and the battery is wonderful","4"
"solid the shipping took a while but the quality and battery life of the ring is really good the only thing is that i wish it tracked more workouts the app is easy to use","4"
"does what it says it ll do works as described even while wearing it on my thumb well priced although i d prefer if it were not made in china enters sleep mode automatically and readings are accurate","5"
"support extremely supportive the support people are extremely helpful i had a problem with the battery in my ring gen they did some troubleshooting with me but when that didn t work they sent me a replacement ring before i returned my old ring","5"
"super happy with it super happy with the rings performance only con is that it could use more exercise options","5"
"overall not bad overall not bad step count could be more accurate","4"
"great product great product works well feels comfortable and isn t heavy nice sizing and overall process","5"
"excellent support excellent support ordered the wrong ring size and ringconn took care of me very quickly my experience the ring size kit is true to fit i am very happy with the performance of my new ring and would highly recommend this product to anyone","5"
"the ring is providing just what i was the ring is providing just what i was looking for with the benefit of not having to pay for a subscription with no benefit","4"
"best smart ring i have tried the company is responsive when i email them or submit feedback via the app usually responding within business days there are frequent updates as they roll out new features and or fix bugs the ring battery lasts me about days with daily exercise mode and i wear it constantly i also walk about an hour a day and the battery holds up well in exercise mode i did an interview when they were rolling out the women s health and they sent me a thank you gift that was beautiful and well packaged i like the data and how it is presented in graphs","5"
"great ring great ring does a great job tracking sleep very comfortable so much better to sleep in than a watch","5"
"the ringconn has helped me better the ringconn has helped me better assess my sleep more than any other device has i highly suggest this ring since there s no monthly fee the app shows some fun stuff coming on the horizon for the already existing ring","5"
"good stats tracker this is a much better vital stats tracker then fitbit","5"
"good product company was quick to respond to my questions it took a little bit to get my ring however was well worth the wait fantastic battery life and great information my husband wants to switch from his oura and get one of these ring fits true to size using their ring guide","5"
"still relatively adjusting but so far still relatively adjusting but so far everything has been as great as i expected the only thing is that the app doesn t take temp on demand only when sleeping other than that i love the purchase","4"
"the best fitness tracker i ve used date of experience may","5"
"ring is nice app syncing with others could be better product seems to be well thought out slim and comfortable to wear wear it working out and to sleep and does not distract me at all would have given it a solid stars if the data could be synced with other apps easier data is more useful when combined with other sources","4"
"good experience good product shipping took a while but happy with the ring","5"
"deceptive and sketchy company the gold ring featured on the website was not the color i received it was a completely different ring the women i spoke to on the phone even confirmed there was a difference in color and said it is a common complaint that is deceptive marketing and extremely sketchy i also have yet to receive my refund for the ring followed all the difficult return instructions and still no refund","1"
"the ring is doing everything i wanted the ring is doing everything i wanted it to do and more","5"
"the company is responsive when i email them or submit feedback via the app usually responding within business days there are frequent updates as they roll out new features and or fix bugs the rinsee more","5"
"the ringconn has helped me better assess my sleep more than any other device has i highly suggest this ring since there s no monthly fee the app shows some fun stuff coming on the horizon for the asee more","5"
"love the idea of the ring somethings to note it gets scratched very easily and i m not expecting it to look great a year from now also there are no postpartum or pregnancy setting for the fertilitysee more","4"
